fsc,chl,pe,color,time
0.235366,-0.167317,1.156098,red,78,
1.946667,2.414359,0.215128,blue,78,
-0.447411,-0.355838,-0.359695,red,78,
-0.014182,-0.294000,1.020727,red,79,
2.063000,2.474250,0.410000,blue,79,
-0.420104,-0.353750,-0.356406,red,79,
-0.417615,-0.341590,-0.179749,red,80,
2.079118,2.318529,0.345000,blue,80,
1.026667,0.786667,5.316667,blue,80,
-0.416071,-0.331607,-0.209464,red,81,
0.805000,-0.095000,1.695833,red,81,
2.101429,2.436429,0.124286,blue,81,
-0.322575,-0.322833,-0.243948,red,82,
2.147222,2.035278,0.273056,blue,82,
1.204286,0.564286,4.298571,blue,82,
-0.417382,-0.369056,-0.190472,red,83,
2.167714,2.163714,0.228857,blue,83,
1.000000,0.676250,5.228750,blue,83,
-0.338952,-0.329194,-0.106250,red,84,
3.890000,4.130000,26.460000,green,84,
1.939630,2.158519,0.763704,blue,84,
2.148148,2.837037,0.471852,blue,85,
-0.312561,-0.333902,-0.122520,red,85,
1.953333,0.576667,5.730000,blue,85,
-0.256255,-0.333830,-0.102085,red,86,
2.216897,2.748966,0.280000,blue,86,
1.559167,0.473333,5.045000,blue,86,
-0.319020,-0.386471,-0.033922,red,87,
2.750000,3.185000,7.245000,green,87,
2.036667,2.270000,0.385000,blue,87,
